"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
3Bedroom 4.250Cent 1250Sq New House Near Kongorpilly Varapuzha,3Bedroom 4.250Cent 1250Sq New House Near Kongorpilly Varapuzha  * 42 Lacks / Negotiable  * Just 750 Mtr From Bus Stop  * 2Car Parking Space  * 3 Bedroom With Attached bathrooms  * Bank loans facility Available  * For Visit : 9633 O7O .. 9O7,Kochi,Edapally,3 Bds , 3 Ba , 1250 ft2,"₹ 42,00,000"
Edappally cheranalloor 4.650cent 3500sqft,"New beautiful 4 studio apartment and 2bedroom apartment for sale at edappally 4.650cent 3500sqft Bus Stop 200mt Easy access to Lulu mall, Aster medicity, Metro station Good well water  Full furnished Price 2.25cr Price negotiable Loan facilities available Home loan and NRI Loans For more details call me",Kochi,Ernakulam,4+ Bds , 4 Ba , 3500 ft2,"₹ 2,25,00,000"
Flat For sale at padivattom,Flat for sale at padivattom 3 bhk 8th floor,Kochi,Padivattom,3 Bds , 2 Ba , 1530 ft2,"₹ 65,00,000"
5BHK Kaloor 2000 Sq.Feet House,5BHK Residential House  project with  3.1 cent sale atKaloor .10 Years Old Property,Kochi,Kaloor,4+ Bds , 4+ Ba , 2000 ft2,"₹ 95,00,000"
"New 4 Cent land,3 bhk,Edapally,Varapuzha,bus stop 100 m,Well&Corp Wate","New Posh 4 Cent of land, Edapally, Varapuzha, Kongorpilly areas, 3 bed attached house, Well & Corp Water, bus stop 100 meters, tar road frontage, all common facilities, only 45/nego.  Site visit minimum 5 to 6 property in you're requirements  All leading banks are loans arranging up to 90%.  Daily wages can also loan arranging.  More details pl. 8075497... 099",Kochi,Edapally,3 Bds , 3 Ba , 1400 ft2,"₹ 44,99,999"
"New Posh 5 bhk, Edapally, Varapuzha,NH - 500 m,Well & Corp Water, 70/n","New Posh 5 bed attached house, Edapally, Varapuzha NH - 500 meters, 4 Cent of land, 1900 Sq, bus stop 500 meters, 3 car parking, Well & Corp Water, all common facilities, only 70/nego.  Site visit minimum 5 to 6 property in you're requirements.  All leading banks are loan arranging up to 90%.  All major cities Easy to accessible.  Pl. More details : 8075497... 099",Kochi,Edapally,4+ Bds , 4+ Ba , 1900 ft2,"₹ 69,99,999"
3 cent 1450 sq house,Tripunithura : പുതിയ കാവ് ആയുർവ്വേദ കോളേജ് പടി ബസ് സ്റ്റോപ്പിൽ നിന്നും 500 മീറ്റർ മാറി ടാർ റോഡ് സൈഡിൽ 3 സെന്റ് സ്ഥലത്ത് 1450 sq feet 4 bedroom പുതിയ വീട് വിൽപ്പനയ്ക്ക് . 65 lakhs for more details contact Sijo 99478      55537,Kochi,Tripunithura,4 Bds , 3 Ba , 1450 ft2,"₹ 65,00,000"
2650 sqft House with 8 cents land vytilla kannadikkad,3Bhk 2650 sqft  Fully furnished 3 car parking  8 cents of land  Vytilla kannadikkad Just 300 mtr to highway  500 mtr to thykoodam metro station 1 km to vytilla junction Tar road facing Calm and quiet area  Nearby shops and supermarkets Good looking and neat area.,Kochi,Vytila,3 Bds , 4 Ba , 2650 ft2,"₹ 2,05,00,000"
83 cent  plot with 6000sqft 4+1 BHK luxury house for sale at Marad.,VP NO 3187:    83 cent  plot with 6000sqft 4+1 BHK luxury house for sale at Marad. 200mtr from NH.Price 25Cr. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.,Kochi,Maradu,4+ Bds , 4+ Ba , 6000 ft2,"₹ 25,00,00,000"
40 cents with house Tripunithura town,40 cents with 5000 sqft house in Tripunithura town. 5 bedrooms  with attached bathrooms. Mainroad frontage. Price 19 crore. Interested buyers contact : vinharproperties,Kochi,Tripunithura,4+ Bds , 4+ Ba , 5200 ft2,"₹ 19,00,00,000"
3 bhk luxury gated community villa for sale in Tripunithurapunithura,"VP 3017:  1750 sqft 3 bhk New gated community villa for sale puthiyakavu near Tripunithura. Club House,gym, generator back up,24 hour security 2 car parking. Interested buyers contact- vinharproperties.",Kochi,Puthiyakavu,3 Bds , 3 Ba , 1750 ft2,"₹ 97,00,000"
Ready to occupy 4 bhk 1675 sqft house in edapally near to manjummel,"3.5 cent 1675 sqft house for sale in edapally very close to manjummel  4 bhk with bath attached    Home loan and NRi loan available  Our complete assistance in loans   Easy access to amritha junction,  edapally Lulu mall,  cheranallur aster medicity,  palarivattom,  vytila , kaloor  etc   All facilities are very near  Asking price 66 lakh  Negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣",Kochi,Edapally,4 Bds , 4 Ba , 1675 ft2,"₹ 67,00,000"
Newly constructed 3 bhk 1300 sqft house at varapuzha near neerikkod,3 bhk 1300 sqft ready to occupy house for sale at varapuzha near neerikkod  3 bhk with bath attached   Home loan and NRi loan available Our complete assistance in loans   *No water flood area   200 mtr away from Bus Stop and main road  2.5 km away from kongorpilly junction  4 km away from koonammav junction 5.5 km away from varapuzha town  11 km away from edapally Lulu mall 10 km away from Aluva   1 car parking slots  Naet and good residential area 4 side compound wall and gate   Vasthu badsed on construction  Cupbboard work facilities Water availability  All facilities are very near  Price is negotiable  For more details contact the number.  9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣ | 9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣,Kochi,Edapally,3 Bds , 3 Ba , 1300 ft2,"₹ 41,00,000"
4bhk villa for sale Tripunithura,"Vineyard Meadows Near Choice school Tripunithura 4bhk. Premium villa Amenities - simming pool, football ground, badminton court, pets allowed",Kochi,Tripunithura,4 Bds , 4+ Ba , 3100 ft2,"₹ 1,70,00,000"
NATIONAL EMBRACE GARDEN 2 BHK APARTMENT,"28-Dec-2021 — Located in Vennala, it is a residential project. The project is spread over 4 Acres. It has 172 units. There are 4 buildings in this project.",Kochi,Vennala,2 Bds , 2 Ba , 1060 ft2,"₹ 65,00,000"
2 BHK APARTMENT FOR SALE,2 BHK SEMI FURNISHED APARTMENT FOR SALE,Kochi,Vennala,2 Bds , 2 Ba , 1050 ft2,"₹ 45,00,000"
Ready to move 4 bhk 1500 sqft house in edapally varapuzha near toall,"3.4 cent 1500 sqft 4 bhk ready to occupy house for sale in edapally varapuzha near toall  4 bhk with 2 bath attached, 1 common   Easy access to varapuzha town, national highway, bus stop etc  7.5 km away from edapally  4 km away from cheranallur Aster medicity  2 km away from koonammav  2 km away from kongorpilly  1 car parking space  Bed rooms with wardrobes Kitchen cupboard work facilities Water availability  Vasthu considered  All facilities are very near Price is negotiable For more details contact the number.  9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣ 9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣",Kochi,Edapally,4 Bds , 3 Ba , 1500 ft2,"₹ 58,00,000"
4.8 cent 1600 sqft 4 bhk newly constructed in kongorpilly Varapuzha,4.8 cent 1600 sqft 4 bhk ready to occupy house for sale in kongorpilly near Varapuzha  4 bhk with bath attached    Home loan and NRi loan available  Our complete assistance in loans   250 mtr away from Bus Stop  2 km away from koonammav junction  2 km away from varapuzha town  5.5 km away from cheranallur Aster medicity  9 km away from edapally   Neat and good residential area  2 car parking slots  Pure water availability   4 side compound wall and gate  Vasthu badsed on construction  Cupboard work facilities available   All facilities are very near  Price is negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣,Kochi,Edapally,4 Bds , 4 Ba , 1600 ft2,"₹ 6,50,00,000"
GATED Villa 5 bhk semi Furnished 5.5 cent land 2500 sqft,Vennala 5 bhn semi Furnished 5.5 cent land 2500 sqft gated community villa for sale asking price 175 lakh negotiable,Kochi,Palarivattom,4+ Bds , 4+ Ba , 2500 ft2,"₹ 1,75,00,000"
5 cent 2600 sqft 5BHK house for sale at Eroor.,VP NO 3174:    5 cent 2600 sqft 5BHK house for sale at Eroor.Asking Price 1.50 Cr(Neg). Interested buyers contact Vinhar properties. Loan facility available for major leading banks.,Kochi,Eroor,4+ Bds , 4+ Ba , 2600 ft2,"₹ 1,50,00,000"
4 cent 1350 sqft 3 bhk newly hous in karingamthuruth near kongorpilly,4 cent 1350 sqft 3 bhk ready to occupy house for sale in karingamthuruth near kongorpilly   3 bhk with bath attached   Home loan and NRi loan available  Our complete assistance in loans   Tar road front in this house  2 car parking space  Well water + municipal water   Bed rooms with wardrops  Kitchen cupboard work facilities  Vasthu considered   All facilities are very near  Asking price 45 lakh  Negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣,Kochi,Edapally,3 Bds , 3 Ba , 1350 ft2,"₹ 45,00,000"
Newly constructed 3 bhk 800 sqt  in karingamthuruth Near kongorpilly,"3 bhk 800 sqft newly built house for sale in karingamthuruth near kongorpilly   Home loan and NRi loan available  Our complete assistance in loans   Easy access to kongorpilly junction,  koonammav,  varapuzha   cheranallur,  edapally  etc   1 car parking slots  Kitchen cupboard work facilities  4 side compound wall and gate   All facilities are very near  Asking price 33 lakh  Negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣",Kochi,Edapally,3 Bds , 2 Ba , 800 ft2,"₹ 33,00,000"
2 bhk 750 sqft house for sale in varapuzha near kongorpilly,"3 cent 750 sqft 2 bhk house for sale in varapuzha near kongorpilly  2 bhk with 1 bath attached,  1 common   Loan facilities are available  Our complete assistance in loans   Only 100 mtr away from Bus Stop  Easy access to kongorpilly junction,  koonammav,  varapuzha town,  cheranallur,  edapally etc   1 car parking slots  4 side compound wall and gate  Good residential area   All facilities are very near  Asking price 27 lakh  Negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣",Kochi,Edapally,2 Bds , 2 Ba , 750 ft2,"₹ 27,00,000"
Newly constructed 3 bhk 1350 sqft house at varapuzha near koonammav,3 bhk 1350 sqft 3.4 cent ready to occupy house for sale at varapuzha near koonammav 3 bhk with bath attached   Home loan and NRi loan available  Our complete assistance in loans   9 km away from edapally Lulu mall  2 km away from varapuzha town 2 km away from kongorpilly  5 km away from Aster medicity cheranallur 10 km away from kalamassery   *No water flood area  4 side compound wall and gate  1 car parking slots  Vasthu badsed on construction   Kitchen cupboard work facilities available  Bed rooms with wardrops  Neat and good residential area   All facilities are very near  Price is negotiable  For more details contact the number. 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣ 9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣,Kochi,Edapally,3 Bds , 3 Ba , 1350 ft2,"₹ 54,00,000"
Newly built 3 bhk 1400 sqft house in koonammav near varapuzha,"3 bhk 1400 sqft newly constructed house for sale in koonammav near varapuzha  3 bhk with bath attached    Home loan and NRi loan available  Our complete assistance in loans   Walkable distance from Bus Stop  Easy access to koonammav junction,  varapuzha town,  kongorpilly,  cheranallur,  edapally  etc...  2 car parking space  4 side compound wall and gate  Vasthu based on construction   Bed rooms with wardrops  Kitchen cupboard work  Water availability   All facilities are very near  Asking price 50 lakh  Negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣",Kochi,Edapally,3 Bds , 3 Ba , 1400 ft2,"₹ 50,00,000"
Ready to occupy 3 bhk 1400 sqft house in Koonammav near varapuzha,"3 bhk 1400 sqft newly constructed house for sale in Koonammav near varapuzha  3 bhk with bath attached    Home loan and NRi loan available  Our complete assistance in loans   Walkable distance from Bus Stop  Easy access to Koonammav junction,  varapuzha town,  cheranallur,  edapally Lulu mall etc   1 car parking slots  Good residential area  Vasthu based on construction   Bed rooms with wardrops  Kitchen cupboard work  Water availability   All facilities are very near  Asking price 50 lakh  Negotiable  For more details contact the number.   9️⃣9️⃣9️⃣5️⃣5️⃣9️⃣7️⃣2️⃣5️⃣5️⃣ 9️⃣8️⃣4️⃣7️⃣9️⃣7️⃣3️⃣4️⃣3️⃣9️⃣",Kochi,Edapally,3 Bds , 3 Ba , 1400 ft2,"₹ 50,00,000"
1300 sq ft 3 BHK Apartment for sale at Petta Thrippunithura,"1300 sq ft 3 BHK Unfurnished Apartment for sale at Petta, Thrippunithura, Metro Line and water metro line frontage apartment, well maintained, Higher floor  For more Details Contact : Kochi Realtor,  Ros Arena Building, Edapally Raghavan pillai Road,  Edapally,. We Assure Trustworthy And Friendly Dealings BNI Member RERA ID: K-RERA /AG/0012/2022 13 years Experience in Real Estate Consultancy and Property Management services If u wish to Sell, Buy or Rent your Property   please  feel free to contact me wattsapp or call 9️⃣3️⃣4️⃣9️⃣3️⃣9️⃣1️⃣8️⃣0️⃣0️⃣ for more property Listings Pls follow my Social media Pages Face book : Kochi Realtor Instagram : Kochirealtor Youtube: Kochirealtor  #realtor#homesforsale #Flats #realestateagent  #property #investment #forsale #bijubalan #househunting #dreamhome   #newhome  #house #realestate #homesweethome #Bungalow #realestateinvesting #luxury #luxuryhomes  #kochirealtor #realestateinvestor #realty  #entrepreneur #mortgage #broker   #home #furnishedflats #independentvilla #furnishedvilla #ReadyToMove #ongoingproject",Kochi,Ernakulam,3 Bds , 3 Ba , 1300 ft2,"₹ 60,00,000"
4BHK 4.650Cent 1800SQ Posh House Near Koonammav Junction Varapuzha,4BHK 4.650Cent 1800SQ Posh House Near Koonammav Junction Varapuzha  * 77 Lacks / Negotiable  * Just 650 Mtr From NH-17  * Never Flood Affected Area  * 4 Bedroom With Attached bathrooms  * Bank loans facility Available  * For Visit : 9633 O7O .. 9O7,Kochi,Edapally,4 Bds , 4 Ba , 1800 ft2,"₹ 77,00,000"
3BHK 1300SQ 3Cent New House Near Kongorpilly Varapuzha,3BHK 1300SQ 3Cent New House Near Kongorpilly Varapuzha  * Aluva Varapuzha Bus Route  * 52 Lacks / Negotiable  * Just 150 Mtr From Bus Stop  * Near SBI Bank Kongorpilly  * 3 Bedroom With Attached bathrooms  * Car Parking Space  * Bank loans facility Available  Contact us for more details : 9633 O7O .. 9O7,Kochi,Edapally,3 Bds , 3 Ba , 1300 ft2,"₹ 52,00,000"
Aluva pukkatupady bus route 5.1cent land 2150 sqft new villa,"Aluva   5.1 cent land 2150sqft 4bhk with attached bathroom s Good well water  Easy acess - Aluva, Kalmassery, Edapally ,Perumbavoor  Loan facilities available  Price 75 lakhs  Slightly negotiable  For more details contact 9️⃣0️⃣6️⃣1️⃣1️⃣7️⃣7️⃣1️⃣0️⃣7️⃣",Kochi,Ernakulam,4 Bds , 4 Ba , 2150 ft2,"₹ 75,00,000"
Vyttila Near 6.5 cent land with 3600 sqft building for sale,Vyttila Near 6.5 cent land with 3600 sqft building for sale. Apt Commercial purpose or Residential. Asking price 2.25 Cr. Please interested Buyers Only Contact For Me. Broker's Excuse,Kochi,Vytila,4+ Bds , 4+ Ba , 3800 ft2,"₹ 2,25,00,000"
2 BHK flat for sale,"2 BHK flat located in Chalikkavattam   of Kochi Corporation near Vytilla which is in  ready to move in state is for sale. This has two bedrooms both with attached toilet and having independent balconies facing east. Also has a drawing cum dining area with the flat. There is also a dedicated covered car parking for the flat. Flat is located in the second floor of a 8 storied building and entire ground floor is dedicated for parking. Each floor has 6 flats and altogether there are 42 flats in this building. The housing complex is consists of 3 such buildings. Common amenities such as Gym and shuttle badminton court available is available. Housing Complex has security guard  round the clock and complex is also under CCTC surveillance. Waste management is done through ""Kudumbasree"" .  This housing complex is just 2.2 KM away from Vytilla junction and Vytilla mobility hub. Many multi speciality hospitals are there within 9 KM including Lakeshore hospital, Medical trust Hospital etc. Also many reputed schools and Colleges are there within the easy reach.  The area of flat is 913 Sq.ft and own 0.547 cents of land as undevided common land. The flat has two lifts and two staircases out of which one is spacious and other one is narrow. Generator back up supply for lift and common area lighting is available. A dedicated care taker is available for managing routine affairs and an elected managing committee from the owners  of the apartment is run the governance.",Kochi,Vytila,2 Bds , 2 Ba , 943 ft2,"₹ 37,00,000"
"One BHK premium apartment for sale at near by vyttila,","One Bhk apartment for sale, near by Reliance fresh. Subash Chandra Boss road. 450 M  from main road. Total 42:apattment. lift,generators back up, 24 hour's security. Car parking not availabe. Commom parking can use. 12 year old bulding, well maintened.",Kochi,Vytila,1 Bds , 1 Ba , 632 ft2,"₹ 23,00,000"
4BHK Heera Waters Kadavanthra,"4Bedroom 5Bathroom ,4 Balcony Apartment sale at kadavanthra  Amenities - Heera Waters  Indoor  * 24Hrs Backup Electricity * Intercom * Wifi Connection  Society  * Cafeteria * Gated Community * Gym * Health Facilities * Indoor Games * Landscaped Garden * Maintenance Staff * Meditation Hall  * Play Area * Security Personnel * Tennis Court * Swimming Pool",Kochi,Kadavanthara,4 Bds , 4+ Ba , 4000 ft2,"₹ 2,30,00,000"
3BHK Apartment Regalia Yeskay Kadavanthra,"3 BHK Apartment sale at Kadavanthra ,3 Bedroom,3 Bathroom 2 Balcony ,2 years Apartment  Amenities - Yeskay Regalia: Landscaped Garden ,Indoor Games",Kochi,Kadavanthra,3 Bds , 3 Ba , 1330 ft2,"₹ 90,00,000"
"3 BHK Fully furnished Flat in Panampally Nager,Kochi,1235sqft","1235 sqft, 3 BHK Fully furnished flat in Panampally Nager, Branded builder. With all modern facilities, 6 / 12 floors, 2 A/C, fridge, washing machine, water purifier etc available  Price: 82 Lakhs  700/7930",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1235 ft2,"₹ 82,00,000"
4 BHK Premium Luxury Flat for sale at Panampally Nagar,"* Spacious house with 4 bedrooms (attached bathrooms), entrance sitting room, dining room, family sitting room, big kitchen + breakfast pantry area, store/laundry room, 2 big balconies * Office room/maid room/5th bedroom with separate bathroom * near to Passport Office * Interiors finished with teak wood interiors, ceiling works, arches, wardrobes, kitchen cabinets * Total 6 AC's - one in each bedroom including living room and dining hall. (Interior works and AC's, was installed at a cost of 25 lakhs) * 24 hours security, Amenities like club house, Party hall, swimming pool etc.  Asking price is 2,50,00,000 (Negotiable) - selling direct from owner (Brokers please excuse)",Kochi,Panampilly Nagar,4+ Bds , 4+ Ba , 3120 ft2,"₹ 2,50,00,000"
7cent land +old house  35lakh per cent  at panampailly Nagar end,"7cent land +old house  35lakh per cent  at panampailly Nagar end,bus 3mint wakable distance, good residential area ,now 38000rs rent getting in this building",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1500 ft2,"₹ 35,00,000"
"1350 Sq Ft 4 BHK Independent House for Sale at Palluruthy, Ernakulam","1350 Sq Ft 4 BHK Independent House for Sale at Palluruthy, Ernakulam  Property details:      - Extent of land: 3 cents.      - Built up area - 1350 Sq Ft      - Profile of the building - Ground +1 floor      - Ground floor - 2 bed residential unit. (Renovation in progress)      - First floor - 2 bed residential unit. Woodwork done. Space rented out.      Legal - Clean title.   Expected Price : - 75 lakhs (Price is negotiable depending on payment terms)  Reference : ERR90391",Kochi,Palluruthy,4 Bds , 4 Ba , 1350 ft2,"₹ 75,00,000"
3 bhk flat near mg road metro station,Residential flat at heart of the city near mg road metro station 3 bhk Good location Small car parking flat 45 lakhs,Kochi,MG Road,3 Bds , 2 Ba , 1350 ft2,"₹ 50,00,000"
3 BHK Apartment  - at Kadavanthra,3 Bedrooms new unfurnished flat for immediate sale at Kumaranasan Nagar Kadavanthra.  Interested buyers please contact us for apartment visit and details. Agents Pls Excuse,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1231 ft2,"₹ 57,00,000"
"3 BHK Apartment - Paradise Road, Vyttila","3 Storeyed Building.  4 Years old New looking. Flat is in Ground Floor Vyttila , Janatha Jn , Near Welcare Hospital , Paradise Road  Total 1500 Sq Feet 3 Bed Rooms all Attached All 3 Rooms and Hall are Air-conditioned Total   4 AC Airconditions 3 Toilets Common Area Kitchen Store Room Living cum Dining Hall Car Porch which can accommodate Cars bigger than Innova Wide Road Frontage Calm and Quite Premium Area Best Connectivity to all areas Low Monthly  Common Maintenance charges  Best suitable for Old aged people also as it is in Ground Floor .  Water very abundant Corporation and Extra Bore well facilities.  Genuine buyers Pls call to visit this apartment.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1500 ft2,"₹ 67,00,000"
Luxury Italian Styled Villa at Kadavanthara,"Italian design independent  Luxury Villa project at Kadavanthara  Fully furnished,  Air-Conditioned 4 Spacious Bedrooms Landscaping and gardening done 4000 Sqft, 8.5 Cents Price: 4.8 Cr  Call: 808989a0118",Kochi,Kadavanthra,4 Bds , 4+ Ba , 4000 ft2,"₹ 4,80,00,000"
1780 sq ft Furnished Flat Ayyappankavu Kacheripady,1780 sq ft Furnished Flat Ayyappankavu Kacheripady. Price 1 Cr,Kochi,Kacheripady,3 Bds , 3 Ba , 1780 ft2,"₹ 1,00,00,000"
2BHK APARTMENT FOR SALE ABAD IKEBANA PANAMPILLYNAGAR,"Ikebana, Premium 2/3 bedroom luxury apartments and flats in Panampilly Nagar, Kochi with exclusive facilities.",Kochi,Panampilly Nagar,2 Bds , 2 Ba , 1045 ft2,"₹ 88,00,000"
URGENT SALE 4 BHK WATER VIEW FLAT,"TATA Tritvam is a world-class residency for luxury living in Kochi. Buy 3 BHK & 4 BHK homes with amenities like squash court, gym, cafe, yoga studio, etc.",Kochi,Marine Drive,4 Bds , 4 Ba , 2918 ft2,"₹ 3,00,00,000"
A beautiful house for sale near vallarpadam basilica,Water frontage house with a peaceful atmosphere.,Kochi,Vypin,3 Bds , 2 Ba , 800 ft2,"₹ 35,00,000"
3 bhk flat nagarjuna pearl bay for sale,"3bhk furnished flat for sale  nagarjuna pearl bay near KP vallon road kadavanthara. Price 85 lakhs,  more information contact me",Kochi,Kadavanthara,3 Bds , 3 Ba , 1438 ft2,"₹ 85,00,000"
3 bhk apartment for sale nearly Thevara,"This is a furnished apartment with three bathrooms attached rooms. Located on the 4th floor. There are facilities such as lift, generator and car parking. This apartment is located in Kasturba Nagar. Easy access  to Panampally Nagar MG Road Tevara and  Kadavanthara . Prices asking for 60 lakhs, negotiable",Kochi,Thevara,3 Bds , 3 Ba , 1500 ft2,"₹ 60,00,000"
Luxury 3BHK Flat for Sale,"Prestige Neptune’s Courtyard is an exclusive community that offers ultra luxury homes for the very upper crust. Set amidst the vast backwaters of Kochi, Prestige Neptune’s Courtyard is home to three, four & five bedroom premium luxury apartments, which compliment the lifestyle of its residents. Each Apartment is equipped with state-of-the-art facilities to give you the best of modern living. Sprawled over 5 acres of greenery and blue waters, Prestige Neptune’s Courtyard is miles from the noise of the city, yet minutes away from civilization. Step through the magnificent gates and into a world of tranquility, with trees and water bodies dotting the landscape. There are no driveways on the premises, as we’ve restricted parking to the basement and ground floor only. We’ve paid attention to every little detail to offer you the finest in luxury living.",Kochi,Marine Drive,3 Bds , 4 Ba , 2223 ft2,"₹ 2,25,00,000"
New 2 Bedroom Semi furnished apartment,"New 2 Bedroom Semi furnished apartment , close to Abad Hotel, Chullikkal, Kochi. With covered parking. Semi furnished. Kitchen cupboards and Curtains done. Immediate  Sale. പുതിയ 2 ബെഡ്‌റൂം ഫ്ലാറ്റ്, ചുള്ളിക്കൽ അബാദ് ഹോട്ടലിനു സമീപം വില്പനക്ക്. Contact: 94477 three dbl five 07.",Kochi,Chullickal,2 Bds , 2 Ba , 1100 ft2,"₹ 39,00,000"
INDEPENDENT HOUSE FOR SALE AT KADAVANTHRA,"2400Sqft , 3Bhk , 3Bathroom , Semifurnished Independent House For Sale At Kadavanthra.Asking price 2.5cr  MORE INFORMATION PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣    BROKERS PLEASE EXCUSE    DREAM HOMES PROPERTY MANAGEMENT.",Kochi,Kadavanthra,3 Bds , 3 Ba , 2400 ft2,"₹ 2,50,00,000"
Independent House for Sale At Kadavanthra.,5.7Cent Residential Land for Sale At Kadavanthra.   100Meters from Kadavanthra Jn.   MORE INFORMATION PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣    BROKERS PLEASE EXCUSE     DREAM HOMES PROPERTY MANAGEMENT.,Kochi,Kadavanthra,4 Bds , 4 Ba , 2400 ft2,"₹ 1,30,00,000"
Furnished 1 Bed Ac Apartment,"For Sale: a fully furnished 1 bedroom new apartment, centrally Air-conditioned, with all furniture, furnishings, TV, Fridge, Washing Machine, kitchen, Hood, Hob etc. Can be rentable on daily basis too. Contact: 9846, triple one, 707.",Kochi,Edakochi,1 Bds , 1 Ba , 800 ft2,"₹ 65,00,000"
